episode,wave,rewards,equity,actor_loss,critic_loss,lr,v_viol,line_ovld,power_loss,shock_pct,steps_survived,g_V,g_T,g_G,g_C,lambda_V,lambda_T,lambda_G,lambda_C,max_v_dev,n_violations,max_loading
35,1,4.066045967719022,74.99247932434082,-0.105058703571558,0.38887298107147217,0.0001,37.75,0.0,0.0,0.0,4,0.1594935804605484,0.0010250885970890522,0.1467888355255127,0.2122468799352646,0.0002447279865177458,1.3947655049368851e-06,0.0013181625647429708,0.003547799304344971,0.6909999996423721,37.75,0.8394742608070374
36,1,585.3026758185955,99.711694760269,-0.105058703571558,0.38887298107147217,0.0001,11.351123595505618,0.0,0.0,0.0,356,0.02251780405640602,1.3025253792875446e-05,0.13581830263137817,0.36004364490509033,0.0002447279865177457,1.3947655049368851e-06,0.0013181625647429708,0.0035477993043449706,0.5899053023437436,11.351123595505618,0.874843907657634
37,1,192.85174157878416,99.1236063418181,0.013767814636230469,0.3553012192249298,0.0001,18.330434782608695,0.0,0.0,0.0,115,0.032208967953920364,0.00039369548903778195,0.1355312615633011,0.32162749767303467,0.0002447279865177457,1.3947655049368851e-06,0.0013181625647429708,0.00354779930434497,0.6070645959480949,18.330434782608695,0.902910820297573
38,1,25.066048908326113,93.32262878417968,0.013767814636230469,0.3553012192249298,0.0001,19.333333333333332,0.0,0.0,0.0,15,0.059001624584198,0.0004034784797113389,0.13914905488491058,0.1618242859840393,0.0002682435115968631,1.5097810747774484e-06,0.0014468676415608948,0.003881638465726234,0.6334712147712708,19.333333333333332,0.9796727816263835
39,1,836.1984899455883,99.79677622178022,0.007364290580153465,0.3099164754152298,0.0001,11.762745098039217,0.0,0.0,0.0,510,0.022501101717352867,6.0230918279557955e-06,0.1371074765920639,0.3583185374736786,0.00026824351159686306,1.5097810747774484e-06,0.0014468676415608944,0.0038816384657262334,0.6213523805141449,11.762745098039217,0.856002482362822
40,1,213.13680413124357,99.24126772772998,0.007364290580153465,0.3099164754152298,0.0001,11.849624060150376,0.0,0.0,0.0,133,0.02533375658094883,0.00042240318725816905,0.13485205173492432,0.3672201931476593,0.00029109110224664273,1.592022055978754e-06,0.0015759088878505058,0.004208950734479532,0.5910977438876504,11.849624060150376,0.8572274280669994
41,1,671.116525752634,99.74294759750366,-0.02902565399805705,0.3411184251308441,0.0001,11.345,0.0,0.0,0.0,400,0.02243283949792385,9.112687985179946e-05,0.1357673704624176,0.3341979682445526,0.0002910911022466428,1.5920220559787542e-06,0.0015759088878505062,0.004208950734479534,0.5899128566682339,11.345,0.8753191882371902
42,1,22.41947291534786,93.74004983901978,-0.02902565399805705,0.3411184251308441,0.0001,18.0625,0.0,0.0,0.0,16,0.056122928857803345,0.0006747741717845201,0.1346791386604309,0.3736536502838135,0.0003127912598787449,1.6986075941657154e-06,0.001703147250884431,0.004531567237153267,0.6137499995529652,18.0625,0.9143116138875484
43,1,32.85381416315756,94.72642276161595,-0.02902565399805705,0.3411184251308441,0.0001,17.894736842105264,0.0,0.0,0.0,19,0.051349200308322906,0.0005664323107339442,0.13490553200244904,0.16664652526378632,0.0003127912598787449,1.6986075941657156e-06,0.0017031472508844308,0.004531567237153267,0.6239390561455175,17.894736842105264,0.9784946473021257
44,1,351.4643480146725,99.52794104287791,-0.02902565399805705,0.3411184251308441,0.0001,12.26046511627907,0.0,0.0,0.0,215,0.02397303842008114,8.955005796451587e-06,0.13682983815670013,0.35229864716529846,0.00031279125987874486,1.6986075941657152e-06,0.0017031472508844312,0.004531567237153268,0.5899311426074005,12.26046511627907,0.861560486083807
